,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Lincoln,-34.73,135.87,58.6,54,100,18.19,AU,1598923785
1,Puerto Colombia,10.99,-74.95,80.6,83,20,5.82,CO,1598923687
2,Shitanjing,39.23,106.34,69.62,31,7,9.04,CN,1598923786
3,Zhezkazgan,47.8,67.71,67.68,35,100,10.33,KZ,1598923786
4,Ambovombe,-25.17,46.08,65.59,94,8,5.23,MG,1598923786
5,Dikson,73.51,80.55,44.96,90,30,6.71,RU,1598923786
6,Puerto Ayora,-0.74,-90.35,64.92,83,97,10.22,EC,1598923659
7,Gornyy,55.12,83.91,59.43,77,100,13.69,RU,1598923787
8,Orsha,54.52,30.41,55.0,91,99,12.01,BY,1598923787
9,Tighina,46.83,29.47,60.8,72,0,2.24,MD,1598923787
10,Riachão do Jacuípe,-11.81,-39.39,68.16,86,0,6.22,BR,1598923787
11,Passo de Camaragibe,-9.24,-35.49,73.4,94,40,5.82,BR,1598923787
12,Touros,-5.2,-35.46,73.4,94,75,6.93,BR,1598923788
13,Samarai,-10.62,150.67,77.88,87,91,17.72,PG,1598923788
14,Tuktoyaktuk,69.45,-133.04,55.4,66,90,9.17,CA,1598923788
15,Mulegé,26.88,-111.98,89.06,57,95,4.99,MX,1598923788
16,Nikolskoye,59.7,30.79,57.2,87,75,11.18,RU,1598923789
17,Muros,42.78,-9.06,57.99,89,67,5.86,ES,1598923789
18,Hermanus,-34.42,19.23,49.84,82,44,12.66,ZA,1598923789
19,Chui,-33.7,-53.46,45.28,74,100,7.52,UY,1598923789
20,Albany,42.6,-73.97,63.0,69,100,3.91,US,1598923773
21,Tymovskoye,50.85,142.66,54.64,72,100,12.15,RU,1598923789
22,Hilo,19.73,-155.09,80.6,69,90,8.05,US,1598923790
23,Nizhniy Baskunchak,48.22,46.83,72.59,30,0,6.91,RU,1598923790
24,Jamestown,42.1,-79.24,66.99,88,40,8.05,US,1598923790
25,Rikitea,-23.12,-134.97,68.99,85,100,15.14,PF,1598923790
26,São Filipe,14.9,-24.5,77.49,74,100,7.11,CV,1598923790
27,Itarema,-2.92,-39.92,78.15,81,0,16.2,BR,1598923791
28,Carnarvon,-24.87,113.63,66.2,100,75,19.46,AU,1598923791
29,Korla,41.76,86.15,71.01,81,88,10.65,CN,1598923791
30,Hofn,64.25,-15.21,50.83,92,40,5.61,IS,1598923791
31,Port Alfred,-33.59,26.89,56.34,70,100,12.8,ZA,1598923792
32,Douentza,15.0,-2.95,79.48,74,42,6.98,ML,1598923792
33,Talaya,61.38,152.75,53.83,45,99,10.27,RU,1598923792
34,Punta Arenas,-53.15,-70.92,37.4,85,0,10.29,CL,1598923792
35,Sangar,63.92,127.47,56.17,69,21,6.46,RU,1598923792
36,Jabonga,9.34,125.52,85.03,66,73,4.21,PH,1598923793
37,Nemuro,43.32,145.57,60.8,82,75,6.93,JP,1598923793
38,Mahébourg,-20.41,57.7,69.8,83,75,12.75,MU,1598923793
39,Port Elizabeth,-33.92,25.57,57.27,67,100,14.7,ZA,1598923701
40,Verkhnyaya Inta,65.98,60.31,49.73,95,100,13.04,RU,1598923793
41,Tasiilaq,65.61,-37.64,39.2,93,100,6.93,GL,1598923794
42,Dhamrai,23.92,90.21,84.2,79,75,6.76,BD,1598923794
43,Balkhash,46.84,74.98,68.23,46,37,16.08,KZ,1598923794
44,Gualaquiza,-3.4,-78.55,61.95,87,94,1.92,EC,1598923794
45,Airai,-8.93,125.41,73.13,58,0,7.38,TL,1598923794
46,Bambous Virieux,-20.34,57.76,70.0,83,75,12.75,MU,1598923795
47,Opuwo,-18.06,13.84,51.17,47,0,3.22,NA,1598923795
48,Arroyo de la Encomienda,41.61,-4.8,59.0,41,100,2.24,ES,1598923795
49,Chokurdakh,70.63,147.92,41.63,76,100,10.56,RU,1598923795
50,Mbandaka,0.05,18.26,71.53,92,100,3.78,CD,1598923796
51,Atuona,-9.8,-139.03,78.84,76,78,22.68,PF,1598923796
52,Hobart,-42.88,147.33,50.0,51,75,11.41,AU,1598923677
53,Mataura,-46.19,168.86,45.0,72,87,11.01,NZ,1598923796
54,Ilulissat,69.22,-51.1,37.4,93,76,3.36,GL,1598923796
55,Lompoc,34.64,-120.46,66.2,68,1,10.29,US,1598923797
56,Nouadhibou,20.93,-17.03,71.6,78,0,12.75,MR,1598923797
57,Dunedin,-45.87,170.5,50.0,61,91,10.18,NZ,1598923797
58,Klaksvík,62.23,-6.59,51.8,93,100,20.8,FO,1598923797
59,Adrar,20.5,-10.07,90.46,14,0,6.67,MR,1598923797
60,San Patricio,19.22,-104.7,84.2,74,75,3.58,MX,1598923797
61,Bengkulu,-3.8,102.27,78.13,86,3,5.17,ID,1598923798
62,Nabire,-3.37,135.48,85.91,63,7,2.24,ID,1598923798
63,Mahrīz,31.59,54.43,68.0,30,20,6.93,IR,1598923798
64,Butaritari,3.07,172.79,84.13,72,97,8.21,KI,1598923798
